City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,golfito,8.639,-83.166,73.29,96,100,2.28,CR,1712464876
190,hovd,48.0056,91.6419,51.44,32,82,4.79,MN,1712464876
191,waiuku,-37.25,174.75,68.32,71,100,3.65,NZ,1712464877
192,nha trang,12.25,109.1833,89.6,59,71,10.38,VN,1712464866
193,ta`u,-14.2336,-169.5144,84.24,72,46,5.88,AS,1712464877
194,sitka,57.0531,-135.33,37.29,81,75,8.05,US,1712464877
195,san patricio,28.017,-97.5169,73.83,87,100,16.08,US,1712464878
196,amarante do maranhao,-5.5667,-46.7422,71.82,99,100,4.61,BR,1712464878
197,bodo,67.28,14.405,32.04,59,75,31.07,NO,1712464878
198,broken hill,-31.95,141.4333,72.88,34,24,12.66,AU,1712464733
199,nuku'alofa,-21.1333,-175.2,80.94,69,20,13.8,TO,1712464878
200,awjilah,29.1081,21.2869,58.68,58,0,9.73,LY,1712464879
201,kolonia,50.9333,6.95,64.89,65,0,10.36,DE,1712464769
202,vadso,70.0744,29.7487,24.96,80,100,0.0,NO,1712464879
203,erdenet,49.0333,104.0833,46.6,53,60,4.41,MN,1712464879
204,ippy,6.2679,21.2247,68.92,97,97,5.82,CF,1712464745
205,castillos,-34.1667,-53.8333,61.65,79,100,5.46,UY,1712464880
206,taoudenni,22.6783,-3.9836,79.9,11,0,5.35,ML,1712464880
207,mukalla,14.5425,49.1242,80.73,63,37,6.06,YE,1712464880
208,madridejos,39.4682,-3.532,57.45,69,100,2.42,ES,1712464880
209,menongue,-14.6585,17.691,63.5,89,94,2.37,AO,1712464881
210,punta gorda,26.9298,-82.0454,63.99,76,0,8.01,US,1712464872
211,ancud,-41.8697,-73.8203,53.8,95,100,3.2,CL,1712464881
212,cozumel,20.5083,-86.9458,73.94,86,0,12.06,MX,1712464797
213,vila do maio,15.1333,-23.2167,70.59,82,37,17.27,CV,1712464882
214,lucapon,15.6998,119.932,90.59,50,30,12.8,PH,1712464882
215,lebu,-37.6167,-73.65,52.43,92,70,5.46,CL,1712464882
216,mejit,10.2753,170.8646,80.78,82,100,19.95,MH,1712464882
217,talnakh,69.4865,88.3972,6.21,94,100,11.88,RU,1712464882
218,bayganin,48.6947,55.8742,53.83,69,22,10.76,KZ,1712464883
219,celina,40.5489,-84.5702,43.65,89,4,3.83,US,1712464883
220,masterton,-40.9597,175.6575,63.88,60,1,8.1,NZ,1712464883
221,kodinsk,58.6881,99.1844,37.44,100,100,5.79,RU,1712464883
222,babu,24.4167,111.5167,63.91,96,100,4.52,CN,1712464883
223,budva,42.2864,18.84,57.15,100,75,0.0,ME,1712464884
224,polyarnyy,69.1989,33.4478,13.84,96,75,4.9,RU,1712464884
225,calatayud,41.3535,-1.6432,59.68,56,100,4.21,ES,1712464884
226,blagodatnoye,45.3997,42.5867,52.72,62,3,4.32,RU,1712464884
227,severnoye,56.3491,78.3619,26.98,81,23,15.99,RU,1712464884
228,ghat,24.9647,10.1728,68.41,16,2,1.72,LY,1712464885
229,kill devil hills,36.0307,-75.676,51.82,55,75,6.91,US,1712464885
